feature,H_full,H_minus_j
PubchemFP420,3.0072286108407984,3.0066542103223357
PubchemFP422,3.0072286108407984,3.005962925043728
PubchemFP431,3.0072286108407984,3.0061523631660942
PubchemFP435,3.0072286108407984,3.00808985178076
PubchemFP437,3.0072286108407984,3.0047650794744074
PubchemFP438,3.0072286108407984,3.009599139036142
PubchemFP439,3.0072286108407984,3.0062969724165125
PubchemFP442,3.0072286108407984,3.0128727729700846
PubchemFP443,3.0072286108407984,3.006270155937679
PubchemFP445,3.0072286108407984,3.008080974251557
PubchemFP447,3.0072286108407984,3.0095501695206717
PubchemFP449,3.0072286108407984,3.0108019913419266
PubchemFP450,3.0072286108407984,3.0111923531553386
PubchemFP451,3.0072286108407984,3.0067850467710784
PubchemFP453,3.0072286108407984,3.011748704664296
PubchemFP462,3.0072286108407984,3.0045689852285493
PubchemFP467,3.0072286108407984,3.0069046135417183
PubchemFP472,3.0072286108407984,3.0117505667229647
PubchemFP476,3.0072286108407984,3.0114046481364305
PubchemFP477,3.0072286108407984,3.0071219819138206
PubchemFP482,3.0072286108407984,3.0117505667229647
PubchemFP484,3.0072286108407984,3.0113063689305744
PubchemFP487,3.0072286108407984,3.0110131352093457
PubchemFP491,3.0072286108407984,3.007995761708517
PubchemFP493,3.0072286108407984,3.0084281201496528
PubchemFP494,3.0072286108407984,3.0050913975456877
PubchemFP495,3.0072286108407984,3.01054946208557
PubchemFP496,3.0072286108407984,3.0066475115987314
PubchemFP498,3.0072286108407984,3.0114191991933663
PubchemFP499,3.0072286108407984,3.000747874549916
PubchemFP502,3.0072286108407984,3.0072323259733773
PubchemFP504,3.0072286108407984,3.009123835807605
PubchemFP506,3.0072286108407984,3.0117505667229647
PubchemFP515,3.0072286108407984,3.0068362577268872
PubchemFP519,3.0072286108407984,3.0099880247172783
PubchemFP521,3.0072286108407984,3.0089614995025733
PubchemFP523,3.0072286108407984,3.0127930366342364
PubchemFP528,3.0072286108407984,3.001794664835584
PubchemFP530,3.0072286108407984,3.0119769087208357
PubchemFP535,3.0072286108407984,3.00590931923792
PubchemFP536,3.0072286108407984,3.003681918804222
PubchemFP537,3.0072286108407984,3.0045689852285493
PubchemFP538,3.0072286108407984,3.012697985443959
PubchemFP539,3.0072286108407984,3.0083400714910447
PubchemFP541,3.0072286108407984,3.011419199193366
PubchemFP542,3.0072286108407984,3.010286657751423
PubchemFP545,3.0072286108407984,3.0108341587500513
PubchemFP546,3.0072286108407984,3.007271374519526
PubchemFP547,3.0072286108407984,3.000813773052108
PubchemFP548,3.0072286108407984,3.010715558885456
PubchemFP553,3.0072286108407984,3.008341089876116
PubchemFP555,3.0072286108407984,3.0121039367431464
PubchemFP560,3.0072286108407984,3.0101757835343332
PubchemFP565,3.0072286108407984,3.01140464813643
PubchemFP566,3.0072286108407984,3.0064157506805644
PubchemFP567,3.0072286108407984,3.008026012143073
PubchemFP569,3.0072286108407984,3.0030664343445
PubchemFP571,3.0072286108407984,3.006837195034765
PubchemFP572,3.0072286108407984,3.0091481700677454
PubchemFP573,3.0072286108407984,3.0106943285901937
PubchemFP574,3.0072286108407984,3.0106774232269604
PubchemFP576,3.0072286108407984,3.007223617785187
PubchemFP577,3.0072286108407984,3.005424008035323
PubchemFP579,3.0072286108407984,3.006813412633601
PubchemFP585,3.0072286108407984,3.010560706511126
PubchemFP589,3.0072286108407984,3.011404648136431
PubchemFP593,3.0072286108407984,2.9998719680590322
PubchemFP594,3.0072286108407984,3.010411084592441
PubchemFP596,3.0072286108407984,3.009942273937495
PubchemFP597,3.0072286108407984,3.008390424111815
PubchemFP600,3.0072286108407984,3.009338824700483
PubchemFP601,3.0072286108407984,3.005810324120577
PubchemFP602,3.0072286108407984,3.003767048028564
PubchemFP604,3.0072286108407984,3.0104110845924414
PubchemFP605,3.0072286108407984,3.0045073630586407
PubchemFP606,3.0072286108407984,3.011324122035923
PubchemFP611,3.0072286108407984,3.0032116299411973
PubchemFP612,3.0072286108407984,3.0031973207794955
PubchemFP614,3.0072286108407984,3.0054201537183594
PubchemFP615,3.0072286108407984,2.999110871421625
PubchemFP616,3.0072286108407984,3.0070190076017456
PubchemFP617,3.0072286108407984,3.0058371202291316
PubchemFP619,3.0072286108407984,3.01065700490793
PubchemFP620,3.0072286108407984,3.009387041267778
PubchemFP621,3.0072286108407984,3.0059950106018523
